OTU	Btaxo_rank1	Btaxo_rank2	Btaxo_rank3	Btaxo_rank4	Btaxo_rank5	Bmorpho	Bacc_number	cov%	id%	Ttaxo_rank1	Ttaxo_rank2	Ttaxo_rank3	Ttaxo_rank4	Ttaxo_rank5	Tmorpho	Tacc_number	node	Brench_L	occurrence	readnumber	TP4	TP5	TP6	TP7	TP8	TP9	TP10	TP11	TP12	TP13	TP14	TP15	TP17	TP18	TP19	TP20	TP21	TP22	TP23	TP24	TP25	TP26	TP27	TP28	TP29	TP30	TP31	TP32	TP33	TP34	TP35	TP36	TP37	TP38	TP39	TP40	TP41	ANP-10-L-1-80-RNA-SAR	ANP-10-L-1-10-RNA-SAR	ANP-10-L-1-2-RNA-SAR	ANP-10-M-1-80-RNA-SAR	ANP-10-M-1-10-RNA-SAR	ANP-10-M-1-2-RNA-SAR	ANP-10-H-1-80-RNA-SAR	ANP-10-H-1-10-RNA-SAR	ANP-10-H-1-2-RNA-SAR	ANP-10-L-2-80-RNA-SAR	ANP-10-L-2-10-RNA-SAR	ANP-10-L-2-2-RNA-SAR	ANP-10-M-2-80-RNA-SAR	ANP-10-M-2-10-RNA-SAR	ANP-10-M-2-2-RNA-SAR	ANP-10-H-2-80-RNA-SAR	ANP-10-H-2-10-RNA-SAR	ANP-10-H-2-2-RNA-SAR	ANP-10-L-3-80-RNA-SAR	ANP-10-L-3-10-RNA-SAR	ANP-10-L-3-2-RNA-SAR	ANP-10-M-3-80-RNA-SAR	ANP-10-M-3-10-RNA-SAR	ANP-10-M-3-2-RNA-SAR	ANP-10-H-3-80-RNA-SAR	ANP-10-H-3-10-RNA-SAR	ANP-10-H-3-2-RNA-SAR	ANP-10-O-4-80-RNA-SAR	ANP-10-O-4-10-RNA-SAR	ANP-10-O-4-2-RNA-SAR	ANP-10-M-4-80-RNA-SAR	ANP-10-M-4-10-RNA-SAR	ANP-10-M-4-2-RNA-SAR	ANP-10-H-4-80-RNA-SAR	ANP-10-H-4-10-RNA-SAR	ANP-10-H-4-2-RNA-SAR	ANP-10-M-5-80-RNA-SAR	ANP-10-M-5-10-RNA-SAR	ANP-10-M-5-2-RNA-SAR	ANP-10-M-6-80-RNA-SAR	ANP-10-M-6-10-RNA-SAR	ANP-10-M-6-2-RNA-SAR	ANP-10-H-5-80-RNA-SAR	ANP-10-H-5-10-RNA-SAR	ANP-10-H-5-2-RNA-SAR	ANP-10-H-6-80-RNA-SAR	ANP-10-H-6-10-RNA-SAR	ANP-10-H-6-2-RNA-SAR	ANP-10-H-7-80-RNA-SAR	ANP-10-H-7-10-RNA-SAR	ANP-10-H-7-2-RNA-SAR	ANP-10-O-8-80-RNA-SAR	ANP-10-O-8-10-RNA-SAR	ANP-10-O-8-2-RNA-SAR	ANP-5-1-1-80-RNA-SAR	ANP-5-1-1-10-RNA-SAR	ANP-5-1-1-2-RNA-SAR	ANP-5-2-1-80-RNA-SAR	ANP-5-2-1-10-RNA-SAR	ANP-5-2-1-2-RNA-SAR	ANP-5-3-1-80-RNA-SAR	ANP-5-3-1-10-RNA-SAR	ANP-5-3-1-2-RNA-SAR	ANP-5-O-1-80-RNA-SAR	ANP-5-O-1-10-RNA-SAR	ANP-5-O-1-2-RNA-SAR	ANP-5-1-2-80-RNA-SAR	ANP-5-1-2-10-RNA-SAR	ANP-5-1-2-2-RNA-SAR	ANP-5-2-2-80-RNA-SAR	ANP-5-2-2-10-RNA-SAR	ANP-5-2-2-2-RNA-SAR	ANP-5-3-2-80-RNA-SAR	ANP-5-3-2-10-RNA-SAR	ANP-5-3-2-2-RNA-SAR	ANP-5-O-2-80-RNA-SAR	ANP-5-O-2-10-RNA-SAR	ANP-5-O-2-2-RNA-SAR	ANP-5-1-3-80-RNA-SAR	ANP-5-1-3-10-RNA-SAR	ANP-5-1-3-2-RNA-SAR	ANP-5-2-3-80-RNA-SAR	ANP-5-2-3-10-RNA-SAR	ANP-5-2-3-2-RNA-SAR	ANP-5-3-3-80-RNA-SAR	ANP-5-3-3-10-RNA-SAR	ANP-5-3-3-2-RNA-SAR	ANP-5-O-3-80-RNA-SAR	ANP-5-O-3-10-RNA-SAR	ANP-5-O-3-2-RNA-SAR	ANP-5-O-5-80-RNA-SAR	ANP-5-O-5-10-RNA-SAR	ANP-5-O-5-2-RNA-SAR	ANP-5-1-4-80-RNA-SAR	ANP-5-1-4-10-RNA-SAR	ANP-5-1-4-2-RNA-SAR	ANP-5-O-4-80-RNA-SAR	ANP-5-O-4-10-RNA-SAR	ANP-5-O-4-2-RNA-SAR	ANP-5-3-4-80-RNA-SAR	ANP-5-3-4-10-RNA-SAR	ANP-5-3-4-2-RNA-SAR	ANP-5-3-5-80-RNA-SAR	ANP-5-3-5-10-RNA-SAR	ANP-5-3-5-2-RNA-SAR	ANP-5-3-6-80-RNA-SAR	ANP-5-3-6-10-RNA-SAR	ANP-5-3-6-2-RNA-SAR	ANP-5-3-7-80-RNA-SAR	ANP-5-3-7-10-RNA-SAR	ANP-5-3-7-2-RNA-SAR	ANP-5-3-8-80-RNA-SAR	ANP-5-3-8-10-RNA-SAR	ANP-5-3-8-2-RNA-SAR	ANP-10-M-6-80-2-RNA-SAR	ANP-10-H-6-80-2-RNA-SAR	ANP-10-L-2-2-2-RNA-SAR	ANP-10-M-2-2-2-RNA-SAR	ANP-10-H-3-10-2-RNA-SAR	ANP-10-M-4-10-2-RNA-SAR	ANP-5-O-4-80-2-RNA-SAR	ANP-5-3-3-10-2-RNA-SAR	ANP-5-O-2-10-2-RNA-SAR	ANP-5-1-1-80-2-RNA-SAR	ANP-10-L-1-80-DNA-SAR	ANP-10-L-1-10-DNA-SAR	ANP-10-L-1-2-DNA-SAR	ANP-10-M-1-10-DNA-SAR	ANP-10-M-1-2-DNA-SAR	ANP-10-L-2-10-DNA-SAR	ANP-10-M-2-80-DNA-SAR	ANP-10-M-2-10-DNA-SAR	ANP-10-M-2-2-DNA-SAR	ANP-10-H-2-10-DNA-SAR	ANP-10-H-2-2-DNA-SAR	ANP-10-L-3-10-DNA-SAR	ANP-10-L-3-2-DNA-SAR	ANP-10-M-3-2-DNA-SAR	ANP-5-3-1-10-DNA-SAR	ANP-5-3-1-2-DNA-SAR	ANP-5-O-1-10-DNA-SAR	ANP-5-O-2-10-DNA-SAR	ANP-5-O-3-10-DNA-SAR	ANP-5-O-4-10-DNA-SAR	ANP-5-1-1-10-DNA-SAR	ANP-5-1-1-2-DNA-SAR	ANP-5-2-1-10-DNA-SAR	ANP-5-2-1-2-DNA-SAR	ANP-5-O-1-80-DNA-SAR	ANP-5-O-1-2-DNA-SAR	ANP-5-1-2-10-DNA-SAR	ANP-5-1-2-2-DNA-SAR	ANP-5-2-2-10-DNA-SAR	ANP-5-2-2-2-DNA-SAR	ANP-5-3-2-80-DNA-SAR	ANP-5-3-2-10-DNA-SAR	ANP-5-3-2-2-DNA-SAR	ANP-O-2-80-DNA-SAR	ANP-O-2-2-DNA-SAR	ANP-5-1-3-10-DNA-SAR	ANP-5-1-3-2-DNA-SAR	ANP-5-2-3-10-DNA-SAR	ANP-5-2-3-2-DNA-SAR	ANP-5-3-3-10-DNA-SAR	ANP-5-3-3-2-DNA-SAR	ANP-5-O-3-10-DNA-SAR-LAKM1607	ANP-5-O-5-10-DNA-SAR	ANP-5-O-5-2-DNA-SAR	ANP-5-1-4-10-DNA-SAR	ANP-5-1-4-2-DNA-SAR	ANP-5-O-4-2-DNA-SAR	ANP-5-3-4-10-DNA-SAR	ANP-5-3-4-2-DNA-SAR	ANP-5-3-5-10-DNA-SAR	ANP-5-3-5-2-DNA-SAR	ANP-5-3-6-10-DNA-SAR	ANP-5-3-6-2-DNA-SAR	ANP-5-3-7-80-DNA-SAR	ANP-5-3-7-10-DNA-SAR	ANP-5-3-7-2-DNA-SAR	ANP-5-3-8-10-DNA-SAR	ANP-5-3-8-2-DNA-SAR	ANP-10-L-2-2-DNA-SAR	ANP-10-M-3-10-DNA-SAR	ANP-10-H-3-10-DNA-SAR	ANP-10-H-3-2-DNA-SAR	ANP-10-O-4-10-DNA-SAR	ANP-10-O-4-2-DNA-SAR	ANP-10-M-4-10-DNA-SAR	ANP-10-M-4-2-DNA-SAR	ANP-10-H-4-10-DNA-SAR	ANP-10-H-4-2-DNA-SAR	ANP-10-M-5-10-DNA-SAR	ANP-10-M-5-2-DNA-SAR	ANP-10-M-6-10-DNA-SAR	ANP-10-M-6-2-DNA-SAR	ANP-10-H-5-10-DNA-SAR	ANP-10-H-5-2-DNA-SAR	ANP-10-H-6-10-DNA-SAR	ANP-10-H-6-2-DNA-SAR	ANP-10-H-7-10-DNA-SAR	ANP-10-H-7-2-DNA-SAR	ANP-10-O-8-10-DNA-SAR	ANP-10-O-8-2-DNA-SAR
OTU1	Euk	SAR	Str	Ba	Co	Th_Thalassiosira	JF794045	100	100%	SAR	Str	Ba	Co	Th	Thalassiosira-nordenskioeldii	JF794045	2	0.001130585	250	832666	1508	800	1882	1558	2264	2411	2715	2640	2997	1951	2602	2158	2223	2682	2054	2280	2453	2462	2325	2153	2639	2286	2567	2797	2547	3512	3364	2542	2213	3667	2879	2980	3441	2412	2348	3453	10472	980	1416	1184	654	3521	2528	465	2385	2876	813	18	1076	946	2690	2086	455	4287	2670	856	4974	2135	4657	1069	3523	896	4877	3586	477	468	832	371	5413	3415	218	1081	1003	175	2392	1358	387	3166	1606	895	3365	2810	553	4251	3624	712	4671	2670	613	4549	2889	3214	8742	3895	2929	9467	5203	1845	9410	8566	1778	8231	2638	1816	8265	3363	1016	7148	4069	243	5525	4129	1740	9512	3679	159	4599	2349	887	8197	1021	1625	5934	1643	977	5526	3710	1484	11764	3368	1133	8947	1948	1056	8069	1337	3917	9970	3794	2624	9028	3043	568	5996	4041	539	9910	3317	1710	12333	3347	358	386	1948	2573	3750	4298	1894	6266	9369	4196	588	967	423	5414	3026	1359	379	3889	2820	6240	4567	7632	1650	3497	8825	2120	6880	10193	10425	11588	12183	2782	13123	1788	678	607	2859	2259	10691	1783	875	5528	2299	983	1807	11676	2096	6785	1433	6118	1970	11385	8125	2288	12478	2509	750	8413	1879	1942	2738	6192	2219	89	11998	2486	11715	2222	744	1109	5834	5429	1553	956	3875	196	3098	1033	59	63	170	337	140	402	2078	1261	7800	2295	6716	2110
OTU5	Euk	SAR	Str	PX	Ph	Ec_Stschapovia	AB117921	100	100%	SAR	Str	PX	Ph	Ti	Haplospora-globosa	AB117925	2	0.008374831	244	340779	382	5558	917	483	1025	941	1147	998	1409	1394	2187	1788	1680	1544	1652	1344	1602	1501	1179	1065	1150	988	843	491	836	721	607	575	798	1269	692	596	1031	741	346	1884	643	1063	41	2078	287	73	1467	6	18	400	695	0	1322	360	94	1385	75	37	137	1442	401	3757	1525	30	1322	219	41	281	1291	57	1390	561	204	1077	274	34	700	2762	1504	3174	476	233	1568	513	93	951	243	51	1009	840	121	794	182	66	1103	696	115	1930	712	126	1354	1111	110	1458	317	92	646	282	161	1985	674	127	1406	145	76	1082	1894	114	562	93	22	778	631	70	963	639	33	438	734	17	471	361	22	1639	117	55	293	618	36	254	679	60	1824	193	61	1700	611	42	2616	178	68	2867	1213	71	2497	574	223	2174	1154	56	204	989	35	122	935	4010	325	5689	604	5487	750	850	692	6476	177	1257	1738	12402	5342	1118	5761	392	614	205	1458	746	7653	783	3984	450	1539	319	6946	932	2896	4426	1303	3262	466	2071	261	2162	469	2433	413	2067	173	395	5480	913	6875	3438	879	5415	83	7820	249	8484	37	506	9469	884	11249	8802	164	339	1317	787	9866	447	650	281	1649	48	161	61	1508	13	508	103	3323	810	2714	1168	12340
OTU2	Euk	SAR	Str	Ch	Ch	Ch_Chrysowaernella	HQ710556	100	96%	SAR	Str	Ch	Ch	Ch	Chrysowaernella-hieroglyphica	HQ710556	2	0.132965638	241	245992	20	10	230	30	267	251	221	244	287	299	179	256	323	271	354	250	396	305	257	271	462	440	488	2884	683	1003	1913	462	399	280	169	257	195	215	101	222	91	3	236	1252	5	178	1900	207	509	2501	118	2	1230	109	146	1298	10	78	1106	98	268	1803	449	1128	1398	80	90	1790	6	59	2222	54	82	1754	4	132	4513	6	174	3480	57	188	5602	1	232	1221	12	78	1676	27	314	1405	44	95	699	576	601	3159	172	532	3281	70	216	1356	65	440	4231	98	1085	5928	239	468	3785	56	966	7006	130	452	3844	36	1565	8867	73	821	9802	394	2163	9460	33	413	3433	405	589	8125	10	1157	8766	386	1339	8739	942	356	4982	1299	333	8586	777	406	4556	60	324	4058	286	380	3949	50	6	1375	1696	68	81	416	1474	421	671	1	17	345	125	715	132	94	87	710	41	1031	124	274	421	115	1080	243	272	244	168	344	1762	287	997	238	646	202	2004	448	996	246	429	3331	76	1415	560	2731	1482	1200	931	3695	211	135	841	283	882	548	554	1352	99	2183	209	2122	1	160	1202	410	1132	313	14	45	889	24	150	2	45	12	277	0	27	5	140	1	40	0	416	108	636	98	167
OTU3	Euk	SAR	Str	Ba	Co	Ch_Chaetoceros	KT860958	100	99%	SAR	Str	Ba	Co	Ch	Chaetoceros-radicans	AB430592	2	0.106443468	234	216319	0	0	3	0	2	6	2	4	1	3	4	2	8	7	2	6	6	19	3	5	6	0	5	7	7	4	0	2	10	2	31	0	3	4	1	2	60	2635	3322	227	4491	5922	579	3921	4712	785	929	4	162	3920	4604	1284	2183	5821	490	1974	2826	558	2201	2901	521	7863	3835	591	1107	685	686	5417	2593	182	2187	3567	227	267	3529	546	650	2791	181	1584	4790	289	886	5107	190	1433	6424	180	8418	3129	771	85	760	133	65	594	54	51	715	40	47	347	59	121	576	41	85	476	33	14	362	27	868	455	44	48	483	35	14	213	22	1880	637	36	269	355	61	87	533	29	32	564	33	888	442	20	32	1136	19	114	1383	37	48	1088	19	17	776	21	80	767	49	679	847	174	947	3382	2752	1271	586	376	108	482	825	69	4766	76	1276	372	4409	165	4537	321	2013	186	173	633	104	424	554	561	727	886	114	550	27	21	22	314	42	531	19	36	771	45	80	43	1164	44	890	43	1204	49	621	449	24	699	70	10	1180	1	436	60	1021	30	0	770	44	1058	24	53	4914	4298	622	751	52	2265	0	2482	22	81	1	75	31	149	5	1151	225	4033	53	2087	158
OTU7	Euk	SAR	Alv	Ci	In	Sp_Strombidium	FJ480419	100	100%	SAR	Alv	Ci	In	Sp	Strombidium-paracapitatum	KP260511	2	0.014744975	230	164816	434	55	193	408	245	337	364	175	162	304	142	132	193	159	166	145	123	285	146	245	179	120	200	241	171	205	297	520	99	147	311	99	430	192	123	390	2	5	10	174	53	33	534	246	1	160	33	0	135	28	3	29	10	1	55	13	12	92	0	0	40	4	6	78	12	17	212	1	1	6	30	41	158	25	169	96	2	67	64	16	14	151	6	32	59	0	36	45	12	35	79	60	97	431	3228	1955	1062	115	132	165	528	348	759	83	278	160	7657	2497	1824	69	35	96	757	217	606	774	384	575	6209	1125	1220	104	136	468	216	547	991	12949	897	325	1227	2472	2975	13381	2310	5324	7831	66	100	9367	148	303	9405	163	310	3613	769	1409	3667	103	1489	3	5	99	34	13	0	9809	111	254	88	1	4	186	12	490	2	1	1	52	0	87	0	17	71	155	658	595	138	174	1211	126	563	1579	1381	646	238	94	77	356	396	73	164	608	43	155	228	1683	411	529	58	690	406	425	904	1119	2632	683	2158	340	126	330	204	431	82	411	695	146	784	286	0	20	29	40	97	51	0	3	16	0	2	1	0	0	0	0	11	17	171	6	27
OTU8	Euk	SAR	Str	Pe	Pe	Pe_Pelagomonas	KT861109	100	100%	SAR	Str	Pe	Pe	Pe	Pelagomonas-calceolata	KT861109	2	0.004887779	214	118246	3672	140	3694	3448	3058	2682	2679	3586	2580	3327	2689	3151	3332	2402	3973	3038	2989	2612	3011	2759	2496	1799	2894	1851	2689	2977	2417	2059	3376	2649	2525	4016	2211	1668	3149	2803	200	52	0	44	75	12	185	0	0	58	60	0	37	267	8	63	1	1	37	18	6	40	22	17	78	3	0	126	3	3	97	758	114	3887	3	0	114	32	7	552	27	12	231	3	1	116	0	2	125	6	2	58	16	2	113	3	1	141	7	1	130	20	0	150	2	2	120	27	3	145	27	0	100	1	1	49	4	3	82	13	3	375	2	0	70	34	1	95	5	0	64	14	2	263	2	2	146	26	0	88	37	2	210	59	3	302	27	2	376	5	2	226	19	1	257	36	5	38	60	0	66	37	1	2	8	2	2	21	3	89	0	0	1	51	17	118	27	19	70	1	82	1	0	0	1	97	86	16	90	60	69	69	169	45	8	133	0	882	121	116	133	232	57	75	102	338	65	19	69	25	36	34	1	188	92	108	122	152	0	14	97	116	74	34	0	0	264	5	342	2	18	0	117	0	0	2	36	0	8	0	177	27	410	0	89
OTU24	Euk	SAR	Str	Ba	Ba	Ba_Stauroneis	KM998977	100	100%	SAR	Str	Ba	Me	Bi	Biddulphia-sp	EF585585	2	0.001620083	241	105448	284	141	361	302	290	349	480	361	396	396	515	440	385	511	353	433	462	500	447	359	400	373	429	445	409	642	434	441	516	413	449	442	419	463	436	626	607	518	432	448	152	1086	833	372	1401	1076	1897	2	317	741	1228	809	2530	1326	699	831	1045	556	1244	665	1281	975	1129	1235	1813	119	249	1214	1160	659	620	549	320	170	519	428	319	843	511	554	1144	1163	282	1225	1431	701	962	1287	1785	999	1290	1155	171	581	160	141	606	635	146	842	116	76	439	307	157	713	172	46	516	12	101	392	203	107	466	43	60	360	45	50	158	194	33	225	41	59	523	67	141	730	254	100	339	51	104	194	182	76	729	1190	69	687	99	58	851	307	95	561	172	101	626	313	249	623	1111	1068	1111	116	37	93	1649	612	76	106	735	224	129	67	398	403	665	951	474	254	605	57	212	47	67	71	84	64	226	91	232	76	100	13	302	111	201	117	65	298	127	189	31	129	270	311	80	209	48	73	137	86	361	91	0	214	0	166	76	362	3	36	276	113	228	101	151	533	959	131	243	538	69	380	245	10	3	23	25	13	90	223	714	480	765	691	253
OTU14	Euk	SAR	Str	Di	Pe	Ap_Apedinella	HQ710559	100	100%	SAR	Str	Di	Pe	Pt	Pteridomonas-danica	AB081640	2	0.052929356	241	90573	582	33	630	535	656	649	687	577	720	657	870	601	637	592	673	635	565	751	671	654	556	476	572	445	612	542	424	325	600	365	283	606	422	240	480	388	111	66	448	162	28	408	302	0	223	398	32	1	102	0	571	303	7	189	54	15	483	246	39	550	506	70	640	400	11	62	810	28	53	363	3	210	743	1	154	337	7	511	866	16	192	857	15	127	528	18	467	499	15	396	600	25	449	305	3	91	169	41	187	271	1	118	317	23	349	348	19	101	191	28	137	189	10	161	330	16	271	295	54	478	440	264	534	385	8	146	321	134	215	295	15	530	227	29	355	358	286	348	313	54	633	302	90	931	450	63	680	501	76	450	485	6	17	108	354	493	43	41	390	103	42	117	1423	643	822	1244	3796	16	1272	556	430	1205	900	237	380	184	911	142	190	211	399	490	432	138	389	194	277	291	551	78	485	159	186	1137	95	300	216	421	224	525	616	874	296	119	308	275	646	290	626	965	182	1027	670	849	1	296	689	306	414	375	3281	663	913	78	759	49	39	107	453	1	4	11	10	14	96	32	692	215	483	324	411
OTU10	Euk	SAR	Alv	Ci	In	Sp_Salpingella	EU399536	100	99%	SAR	Alv	Ci	In	Sp	Salpingella-acuminata	EU399536	2	0.022232751	183	85417	559	262	2148	839	1995	2546	2176	2126	2397	2468	2067	2416	2674	3146	2101	2798	2663	3055	2312	2623	1949	2245	2162	1125	2036	1720	1042	1621	1355	1468	1339	1072	1474	1484	899	1316	75	266	490	142	7	129	12	312	158	45	26	0	28	4	204	92	0	166	23	1	377	157	13	78	48	11	191	16	1	129	190	2	9	6	1	92	13	1	443	58	0	574	65	0	180	49	0	79	12	0	492	38	0	368	111	0	19	0	0	56	0	0	3	0	0	43	1	0	24	15	0	10	0	2	8	0	1	54	0	0	64	0	0	107	2	0	84	5	0	40	4	2	40	1	0	191	44	0	103	1	3	32	0	1	14	0	2	16	0	2	61	2	0	64	0	0	3	22	72	198	12	1	77	72	0	427	1423	156	213	14	1301	73	770	114	154	45	241	53	240	20	0	93	95	32	34	0	0	44	0	0	1	8	3	0	1	0	7	0	0	0	38	0	72	1	211	0	74	26	15	109	22	0	3	34	0	0	0	1	0	22	0	70	0	96	1436	305	69	828	76	0	0	28	0	26	0	32	0	1	1	0	6	290	450	261	12
OTU12	Euk	SAR	Alv	Ci	In	Sp_Tintinnopsis	AY143560	100	100%	SAR	Alv	Ci	In	Sp	Tintinnopsis-fimbriata	AY143560	2	2.00E-06	116	80097	2	3	1460	319	1500	716	789	1885	1200	925	702	1578	1287	996	2170	1576	1971	1968	2609	1997	1586	2279	2095	1419	2697	1038	2221	4903	2811	1919	5503	687	1765	3379	690	884	85	1574	418	3	5	4	34	0	1	0	731	0	0	28	2	0	18	39	0	226	393	3	0	15	3	0	0	4	89	120	9	4	0	1	114	0	2	76	99	0	255	505	0	372	0	1	634	0	0	372	0	1	936	118	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	2	1	0	0	1	2	1	1	27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	257	601	3	1	0	0	0	0	0	0	6290	1099	6	3	0	461	130	1	0	68	0	294	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	41	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	188	1	7	1296	0	0	0	0	0	4	0	135	0	0	0	0	0	14	0	310	0
